date,Score,isPartial,ID,Timestamp,Source
2017-11-19,2,False,XDB.DigitalBits,2021-08-21 13:27:52,Google Trends
2017-11-26,0,False,XDB.DigitalBits,2021-08-21 13:27:52,Google Trends
2017-12-03,0,False,XDB.DigitalBits,2021-08-21 13:27:52,Google Trends
2017-12-10,0,False,XDB.DigitalBits,2021-08-21 13:27:52,Google Trends
2017-12-17,0,False,XDB.DigitalBits,2021-08-21 13:27:52,Google Trends
2017-12-24,0,False,XDB.DigitalBits,2021-08-21 13:27:52,Google Trends
2017-12-31,0,False,XDB.DigitalBits,2021-08-21 13:27:52,Google Trends
2018-01-07,2,False,XDB.DigitalBits,2021-08-21 13:27:52,Google Trends
2018-01-14,0,False,XDB.DigitalBits,2021-08-21 13:27:52,Google Trends
2018-01-21,2,False,XDB.DigitalBits,2021-08-21 13:27:52,Google Trends
2018-01-28,2,False,XDB.DigitalBits,2021-08-21 13:27:52,Google Trends
2018-02-04,2,False,XDB.DigitalBits,2021-08-21 13:27:52,Google Trends
2018-02-11,0,False,XDB.DigitalBits,2021-08-21 13:27:52,Google Trends
2018-02-18,0,False,XDB.DigitalBits,2021-08-21 13:27:52,Google Trends
2018-02-25,0,False,XDB.DigitalBits,2021-08-21 13:27:52,Google Trends
2018-03-04,2,False,XDB.DigitalBits,2021-08-21 13:27:52,Google Trends
2018-03-11,2,False,XDB.DigitalBits,2021-08-21 13:27:52,Google Trends
2018-03-18,0,False,XDB.DigitalBits,2021-08-21 13:27:52,Google Trends
2018-03-25,0,False,XDB.DigitalBits,2021-08-21 13:27:52,Google Trends
2018-04-01,2,False,XDB.DigitalBits,2021-08-21 13:27:52,Google Trends
2018-04-08,0,False,XDB.DigitalBits,2021-08-21 13:27:52,Google Trends
2018-04-15,2,False,XDB.DigitalBits,2021-08-21 13:27:52,Google Trends
2018-04-22,0,False,XDB.DigitalBits,2021-08-21 13:27:52,Google Trends
2018-04-29,2,False,XDB.DigitalBits,2021-08-21 13:27:52,Google Trends
2018-05-06,2,False,XDB.DigitalBits,2021-08-21 13:27:52,Google Trends
2018-05-13,0,False,XDB.DigitalBits,2021-08-21 13:27:52,Google Trends
2018-05-20,0,False,XDB.DigitalBits,2021-08-21 13:27:52,Google Trends
2018-05-27,2,False,XDB.DigitalBits,2021-08-21 13:27:52,Google Trends
2018-06-03,0,False,XDB.DigitalBits,2021-08-21 13:27:52,Google Trends
2018-06-10,2,False,XDB.DigitalBits,2021-08-21 13:27:52,Google Trends
2018-06-17,2,False,XDB.DigitalBits,2021-08-21 13:27:52,Google Trends
2018-06-24,0,False,XDB.DigitalBits,2021-08-21 13:27:52,Google Trends
2018-07-01,2,False,XDB.DigitalBits,2021-08-21 13:27:52,Google Trends
2018-07-08,4,False,XDB.DigitalBits,2021-08-21 13:27:52,Google Trends
2018-07-15,0,False,XDB.DigitalBits,2021-08-21 13:27:52,Google Trends
2018-07-22,2,False,XDB.DigitalBits,2021-08-21 13:27:52,Google Trends
2018-07-29,2,False,XDB.DigitalBits,2021-08-21 13:27:52,Google Trends
2018-08-05,0,False,XDB.DigitalBits,2021-08-21 13:27:52,Google Trends
2018-08-12,0,False,XDB.DigitalBits,2021-08-21 13:27:52,Google Trends
2018-08-19,0,False,XDB.DigitalBits,2021-08-21 13:27:52,Google Trends
2018-08-26,0,False,XDB.DigitalBits,2021-08-21 13:27:52,Google Trends
2018-09-02,2,False,XDB.DigitalBits,2021-08-21 13:27:52,Google Trends
2018-09-09,2,False,XDB.DigitalBits,2021-08-21 13:27:52,Google Trends
2018-09-16,0,False,XDB.DigitalBits,2021-08-21 13:27:52,Google Trends
2018-09-23,0,False,XDB.DigitalBits,2021-08-21 13:27:52,Google Trends
2018-09-30,2,False,XDB.DigitalBits,2021-08-21 13:27:52,Google Trends
2018-10-07,0,False,XDB.DigitalBits,2021-08-21 13:27:52,Google Trends
2018-10-14,0,False,XDB.DigitalBits,2021-08-21 13:27:52,Google Trends
2018-10-21,0,False,XDB.DigitalBits,2021-08-21 13:27:52,Google Trends
2018-10-28,0,False,XDB.DigitalBits,2021-08-21 13:27:52,Google Trends
2018-11-04,0,False,XDB.DigitalBits,2021-08-21 13:27:52,Google Trends
2018-11-11,0,False,XDB.DigitalBits,2021-08-21 13:27:52,Google Trends
2018-11-18,2,False,XDB.DigitalBits,2021-08-21 13:27:52,Google Trends
2018-11-25,0,False,XDB.DigitalBits,2021-08-21 13:27:52,Google Trends
2018-12-02,0,False,XDB.DigitalBits,2021-08-21 13:27:52,Google Trends
2018-12-09,0,False,XDB.DigitalBits,2021-08-21 13:27:52,Google Trends
2018-12-16,2,False,XDB.DigitalBits,2021-08-21 13:27:52,Google Trends
2018-12-23,0,False,XDB.DigitalBits,2021-08-21 13:27:52,Google Trends
2018-12-30,4,False,XDB.DigitalBits,2021-08-21 13:27:52,Google Trends
2019-01-06,4,False,XDB.DigitalBits,2021-08-21 13:27:52,Google Trends
2019-01-13,0,False,XDB.DigitalBits,2021-08-21 13:27:52,Google Trends
2019-01-20,4,False,XDB.DigitalBits,2021-08-21 13:27:52,Google Trends
2019-01-27,0,False,XDB.DigitalBits,2021-08-21 13:27:52,Google Trends
2019-02-03,0,False,XDB.DigitalBits,2021-08-21 13:27:52,Google Trends
2019-02-10,2,False,XDB.DigitalBits,2021-08-21 13:27:52,Google Trends
2019-02-17,0,False,XDB.DigitalBits,2021-08-21 13:27:52,Google Trends
